[206.08869985 400.24024074]
[200.63524572 398.8240027 ]
[200.12648835 400.00688157]
[204.80190565 404.49427898]
[205.87296532 402.01645114]
[204.47942208 399.63783498]
[208.39554974 400.18707604]
[209.608198   399.01396949]
[211.30164273 401.27437503]
[211.51324981 401.9390241 ]
[210.91792835 402.55150856]
[209.56424994 402.83880983]
[210.84963354 402.91852236]
[214.22972368 396.86012287]
[219.97077111 390.07446331]
[223.18624215 385.23689338]
[226.13805138 382.59555231]
[227.23456452 383.77245347]
[233.04043797 381.97233032]
[235.5029947  383.86701059]
[237.80506601 387.34564554]
[240.95150826 391.08083133]
[243.49790196 393.96689099]
[249.48914413 393.57679977]
[253.29491938 396.10243933]
[256.80866791 395.60188963]
[263.52344955 395.36308011]
[270.26406488 391.60582668]
[278.1193077  393.05817392]
[281.32958643 394.66618737]
[280.91947184 404.23172448]
[280.57416108 412.46763601]
[278.5641513  420.43542371]
[278.49508204 426.13462436]
[272.95092869 430.34181066]
[264.97307034 431.6527509 ]
[255.26365356 429.35063764]
[243.68970498 427.04061174]
[223.6480929  424.17089379]
[210.89018884 431.29205449]
[195.05226366 438.63295088]
[185.70949765 454.72853631]
[305.9701538  457.15971473]
[295.11878849 471.00979423]
[163.18128748 478.80999001]
[162.3488433 493.7134522]
[170.45101628 492.94645923]
[167.18654754 488.22522829]
[300.77222532 474.77319948]
[173.90595563 474.3529471 ]
[179.72058044 464.89756054]
[180.35288055 457.23461739]
[180.18166099 460.20903095]
[177.45135527 462.47071113]
[176.9581599  469.36240902]
[171.78560085 470.90529629]
[173.47977676 466.32319701]
[174.17650891 454.46190261]
[173.82310403 445.68110678]
[174.19638615 428.69507925]
[174.34896367 419.99247708]
[173.47490745 412.97155743]
[172.37012051 409.1373954 ]
[171.52097078 407.57210609]
[173.28171905 405.57777637]
[172.18402367 404.9217225 ]
[169.79169474 404.65615295]
[169.32698404 402.39380109]
[169.44268954 400.38241927]
[168.91693946 398.49739197]
[167.69125358 397.2005759 ]
[168.06091282 395.15042473]
[170.60021516 393.45675012]
[171.34231068 394.07063399]
[173.24054804 395.19517022]
[176.08284125 399.86682659]
[185.87487608 401.82343921]
[203.28422692 394.89448906]
[215.48415659 386.5798717 ]
[218.82032656 377.63421523]
[223.44991689 367.67321075]
[225.9601851  361.95846978]
[224.34367646 358.93822534]
[224.43190835 357.10131194]
[224.53689881 353.15742841]
[224.14269094 352.63192672]
[220.04753902 353.74430564]
[216.31921765 351.08287496]
[212.54720403 348.28161875]
[209.50895447 347.16779586]
[208.28145818 343.48387763]
[209.61184901 343.35681745]
[209.24596361 340.2160953 ]
[211.7034466  335.61397026]
[211.09080631 334.27026253]
[212.91396319 331.59465477]
[207.95511956 339.08857181]
[194.65884809 346.71550638]
[187.38101096 348.05776474]
[182.05096642 357.68527456]
[177.77507227 366.39183542]
[173.60217173 363.55772462]
[169.83805165 360.36176721]
[172.17017728 351.30355033]
[172.97832539 346.95792186]
[163.86996758 341.78195072]
[169.94786148 337.45340583]
[170.36638005 332.40965499]
[167.78044178 330.55297301]
[167.67409377 330.89207587]
[157.11403687 333.50848874]
[150.72749957 344.45438062]
[145.04640551 349.42885703]
[144.20409135 351.81123367]
[148.99218367 355.43219899]
[150.82712866 359.39741315]
[158.76560711 360.50898408]
[161.01574505 364.78459663]
[167.70714158 363.48785385]
[177.06401444 360.84182112]
[182.91806616 364.0876925 ]
[186.61214772 364.16653059]
[190.81533298 357.8587603 ]
[191.80720187 356.2085139 ]
[186.15608306 360.44055209]
[187.19895639 357.85507247]
[194.3791558  354.68323078]
[199.5117694  352.50844624]
[203.93090575 355.19119726]
[205.07118543 356.61052975]
[199.22008758 360.98672612]
[189.32796051 355.51287839]
[186.42958353 346.27169096]
[187.3888037  337.70780333]
[184.46888441 330.60983498]
[187.53935709 324.77037199]
[191.66931302 320.5932915 ]
[191.25222531 315.94220943]
[192.36637737 314.49056538]
[198.38366733 309.56436284]
[201.54283064 310.43391405]
[200.75622962 312.53997663]
[197.79164309 309.28033514]
[193.29542122 310.06980838]
[186.8190524  312.57201578]
[181.3963687  302.93517684]
[178.41257687 303.00797392]
[171.4077234 310.5363498]
[167.48763338 314.25139124]
[169.02137275 314.50547512]
[168.93818607 313.26906629]
