[409.57507367 360.13626718]
[411.64621247 381.12683984]
[413.8994501  384.32977241]
[414.20377412 383.38704309]
[416.80759283 381.83991186]
[418.30111588 380.75573938]
[418.54300886 379.97640539]
[421.01361852 381.17784201]
[421.7459019  380.85031381]
[425.25136021 382.20136445]
[422.68032538 382.50066936]
[421.00810085 382.64801683]
[421.93585107 384.25604477]
[425.28653414 378.96483077]
[432.42530134 370.92053601]
[435.03359584 366.97096823]
[438.99929599 365.20629277]
[441.31595128 366.16685388]
[446.72037972 365.57760607]
[450.91012355 368.16560065]
[452.6380786  372.69905172]
[457.40935374 375.18993726]
[460.10210341 381.43810656]
[465.80962805 380.36751479]
[471.29614063 381.89791967]
[474.62111997 383.34451863]
[481.02959744 380.96667743]
[488.65789265 379.28322383]
[496.65193343 379.99056209]
[500.11472931 383.44562558]
[501.37242438 390.20590017]
[502.28452799 400.05805973]
[499.98306687 407.84160475]
[500.27844422 414.14277768]
[495.55670571 418.66174879]
[486.9452972  420.68225965]
[478.00904904 416.2271234 ]
[461.37355427 412.84253321]
[445.54932234 408.78900233]
[429.28965679 415.61019551]
[414.60918599 426.83075032]
[409.78439088 436.85356966]
[401.90439055 446.72684618]
[395.42000574 460.31599259]
[392.26382215 468.97484686]
[391.25730928 474.48402065]
[394.82284624 474.54956078]
[397.39588297 471.25778585]
[396.58836859 463.78468594]
[400.86995006 454.38912375]
[403.45943152 445.66981286]
[406.1711865  437.98909298]
[406.19487503 440.59365498]
[405.3295257  443.78404766]
[402.51308792 448.19958355]
[399.69583887 450.28486972]
[398.75332395 444.50413902]
[401.29814111 432.63988399]
[401.23585861 422.87227715]
[401.16564321 407.95639088]
[402.48987379 394.57782134]
[402.42444166 388.97352474]
[401.17042469 383.67299353]
[399.2863842 381.5224764]
[400.75865881 380.3362948 ]
[399.69939472 378.44337262]
[397.51397068 376.91267818]
[397.37375095 373.91795754]
[397.32290982 372.20803529]
[397.44010504 368.33005268]
[396.38488697 367.0550519 ]
[395.6527864 365.7340352]
[395.88607852 362.62183673]
[398.22336724 363.19622002]
[398.94015431 363.74437813]
[403.36030972 369.12016771]
[408.61696606 370.36164203]
[424.70893627 362.4954539 ]
[439.17821894 351.94310442]
[445.41289012 343.00474506]
[448.28105019 329.97200071]
[451.02805362 325.92124312]
[451.84385088 319.82352589]
[449.7663619  316.91471972]
[451.97973046 312.57504911]
[450.53218071 310.94734829]
[446.15649022 309.73609076]
[442.55109735 308.2249873 ]
[437.79829242 303.23786901]
[435.00375489 301.63362553]
[433.33265352 296.9712868 ]
[433.7589234  297.43019763]
[432.71357729 291.72769839]
[433.72724331 288.18971255]
[434.6715655 285.484474 ]
[435.04483122 282.238741  ]
[429.06872599 286.97292189]
[416.16124566 296.26688461]
[410.24964062 297.35400855]
[403.29446371 303.69315085]
[397.48754933 315.52971955]
[392.2258623  316.49839817]
[389.48946367 315.8969203 ]
[389.20062776 307.06238256]
[388.58897073 303.34752645]
[381.42645509 300.48166835]
[385.75326815 296.11694422]
[386.3304636  292.41355999]
[382.98164808 292.7109941 ]
[381.83903148 293.84331739]
[372.65608924 297.61368139]
[366.23434304 309.47123315]
[360.30587525 316.07057426]
[357.91799573 321.45531306]
[361.34656715 326.15805359]
[362.89257928 331.00676718]
[370.22708432 332.45298155]
[372.95956038 336.74562556]
[378.0667039  336.90505802]
[388.20573063 336.45181081]
[393.82700409 338.74646343]
[396.88576814 338.62570232]
[400.05511412 335.1988566 ]
[403.08037651 331.98882272]
[396.8802454  337.23241513]
[397.3554252  336.43153008]
[404.25780955 332.28731863]
[407.54731387 330.54424443]
[411.03407805 334.96219829]
[412.15966953 336.44679116]
[405.85203628 341.40580874]
[395.46817128 337.0781156 ]
[389.67470288 327.2798761 ]
[389.9779305  318.98232581]
[387.82868892 313.34316189]
[390.18485852 308.33394793]
[390.64522281 303.57280758]
[392.06032349 300.22774168]
[392.44050742 299.34875556]
[396.73324621 296.60040752]
[398.79373169 297.32220684]
[397.61577773 300.49959179]
[393.67914868 297.54083947]
[389.35982354 297.9913957 ]
[382.00780707 302.40919252]
[377.17687651 292.40813331]
[370.79995879 291.60801758]
[364.12584118 300.66282909]
[358.70430633 303.92944688]
[359.75400183 305.8605164 ]
[359.0386228  305.08916129]
