[182.3409817  219.28630576]
[184.95985954 207.59099566]
[184.13957409 210.06936317]
[186.2100153  210.69847676]
[189.78199467 213.91462077]
[188.40890795 211.82788903]
[191.20968906 210.82220607]
[193.36168125 209.77852186]
[197.13641338 211.32479186]
[198.62066312 213.321497  ]
[196.06470314 213.07042917]
[196.75812198 213.90750105]
[194.71235013 214.51960726]
[198.60532275 210.12243615]
[203.88600336 203.07941245]
[208.52634604 196.76793244]
[211.03951194 192.19636127]
[212.9724951  192.90805954]
[218.13344114 190.47423924]
[221.52757021 189.50865923]
[225.31871228 192.23122808]
[228.94023343 194.29829058]
[231.83220433 198.89725455]
[237.83465769 199.34059773]
[241.26021998 199.58882693]
[245.87427965 198.51868493]
[250.16400898 198.7573717 ]
[257.4343406  196.43488559]
[266.35761933 193.19497261]
[271.04663975 195.1376635 ]
[272.4568926  199.77063719]
[272.81843701 208.17966653]
[271.15924725 214.57964499]
[271.04077186 221.40266447]
[269.21073705 225.08831981]
[261.28935875 228.42777474]
[252.37099798 226.49371253]
[238.71472695 221.02764113]
[223.70397976 218.36723385]
[209.40115939 225.42164641]
[190.51391445 235.99464229]
[178.91750011 239.68650301]
[177.33397216 249.69824015]
[167.59779304 257.07844056]
[162.79698426 276.04096764]
[157.89357187 280.17502304]
[160.38716831 281.52063771]
[160.64474217 279.62441908]
[160.37466858 273.73705803]
[164.33783147 266.21370101]
[166.3824677  259.31177259]
[170.01904601 249.18960506]
[169.56539636 247.5892648 ]
[168.51346846 251.93361564]
[168.68069733 256.67114937]
[163.16515933 259.54555781]
[161.73307527 260.10619552]
[161.05958565 251.70426811]
[162.82210504 238.92668355]
[161.06250469 231.87837768]
[161.62776287 213.93872617]
[161.12846393 205.09254494]
[161.6182686 202.223165 ]
[157.99718168 198.93919731]
[158.87079633 197.51385088]
[158.54813154 197.12903924]
[157.65672225 196.31201992]
[154.58463299 195.14892794]
[154.51050052 194.3594874 ]
[154.1487317  190.54140347]
[153.09977047 190.22423784]
[152.78174456 189.87494115]
[153.89817753 188.66773299]
[154.1054167  186.84874945]
[156.16473727 189.42305569]
[159.92001868 193.72036775]
[166.25000201 199.38168529]
[181.56994294 193.66542318]
[194.62504721 185.63527847]
[199.36528053 181.94512452]
[203.49234808 171.00903108]
[207.52192772 164.01622351]
[205.62316811 160.76914829]
[204.82395991 158.42751389]
[202.61815643 156.21169535]
[204.75161671 154.16451254]
[201.86704609 156.39517742]
[196.19081129 155.50643458]
[193.27623133 153.21882126]
[188.3125539  154.48948218]
[187.66537328 151.74307165]
[186.42347779 149.65634176]
[187.22568086 149.64962297]
[189.69950335 146.28552062]
[188.84547175 145.80333004]
[189.1935057  143.51969472]
[186.34478086 148.47389424]
[174.98925719 158.99719367]
[165.50407869 164.22834048]
[160.36542194 169.04061175]
[157.38568611 182.34192339]
[151.45295134 182.25116884]
[147.71691742 183.5661796 ]
[148.54778583 174.57583202]
[151.03946157 168.49723575]
[141.39108078 165.58377459]
[144.36042188 159.87497782]
[148.67070837 157.24167356]
[145.62769305 154.67741867]
[145.7329292  153.50440392]
[137.04136721 156.24175906]
[131.43172536 162.50369681]
[126.16222491 170.96635337]
[122.63804111 176.4234328 ]
[126.5091685 177.2148111]
[128.28287006 181.51781841]
[133.4736521  182.02758828]
[139.80928251 187.23637674]
[142.75241301 187.47808031]
[153.65286546 185.21308373]
[158.58313212 186.41565952]
[163.41191581 186.98671266]
[166.16012741 184.01092016]
[168.72892563 177.97385767]
[163.57610162 180.53714919]
[161.90252193 180.72210804]
[166.31628999 177.68624351]
[171.87107941 174.50034329]
[174.21036149 176.87368912]
[178.73255978 177.92230911]
[174.36581818 183.28865048]
[164.4634013  182.07252036]
[156.46650117 172.82542665]
[158.53289825 162.12930228]
[155.04584866 156.90771985]
[156.82853426 149.31868431]
[158.25318783 144.77854052]
[160.82895387 139.40563242]
[159.87871826 137.17348151]
[165.97864046 134.08749356]
[169.61258432 131.90845543]
[168.76314734 135.68441874]
[166.15777754 133.26621174]
[161.51344823 130.826544  ]
[155.03383264 133.7450797 ]
[148.49450704 131.86369133]
[146.58807484 125.16517855]
[140.77851211 132.33841738]
[134.75568743 135.05770786]
[135.59124308 138.33084874]
[133.39721514 136.42291097]
