[257.53584462 202.16116148]
[183.1476913  215.38928985]
[183.90374806 209.12887724]
[186.09976099 212.40999926]
[190.74658025 211.30254072]
[190.86242313 210.68451413]
[192.06015386 210.37413413]
[194.50792703 209.1930491 ]
[196.65733154 213.35653708]
[196.81791188 211.9960297 ]
[197.1585544  213.07505928]
[196.12533096 214.04791467]
[194.44072766 215.16184253]
[197.19090931 210.89326863]
[202.17131572 201.29488109]
[205.420456   195.96759506]
[211.00611044 192.11601222]
[212.06152195 193.35498578]
[217.8794401  190.20989471]
[221.09844959 190.27770964]
[224.10244943 193.26097697]
[228.65050841 193.9090455 ]
[231.00382367 199.13661997]
[236.7998123  198.73877072]
[242.33322859 199.4601536 ]
[244.48399734 199.38592986]
[250.47637795 198.94510936]
[257.86315407 194.98080359]
[267.82717995 194.21090826]
[271.52168288 194.80479133]
[272.08504897 199.62645237]
[272.61924712 207.71266123]
[270.2983005  215.25422541]
[271.05887361 220.26721514]
[268.22358265 224.83077515]
[259.07103576 228.33460183]
[251.68248055 225.31199991]
[237.19257602 221.01472036]
[220.54767714 217.35486185]
[203.91187493 218.39555581]
[191.09801265 232.13991108]
[185.14970894 237.06201965]
[180.52421965 242.22687049]
[164.96622729 285.15717248]
[159.96120495 275.43834798]
[159.7178271  281.06597422]
[159.77642786 283.40008916]
[162.60486323 279.10263904]
[161.61890259 275.30416155]
[166.57222216 264.59491163]
[165.00755017 257.23737807]
[170.72578547 249.2192783 ]
[170.88641466 246.01151402]
[168.76091538 251.62784502]
[167.53717204 257.78810309]
[163.46500661 260.71435309]
[162.29824595 259.12482525]
[162.91920494 250.68769061]
[161.79962693 239.57672529]
[161.94681538 229.72539582]
[162.7792747  215.49248442]
[160.41650267 208.48567799]
[161.98333158 202.26912228]
[159.24701592 198.84139347]
[158.22833025 198.39211055]
[158.14758585 196.02710008]
[156.11883846 195.54326013]
[154.771265   195.62400139]
[153.24213658 192.90874516]
[154.8376636  191.75882966]
[152.06431874 190.05661941]
[153.92246169 188.97962325]
[154.21850544 187.52891296]
[154.19043671 187.35790347]
[156.06594313 189.98831289]
[159.96470161 193.65668285]
[165.0558977  199.23235504]
[179.97003964 194.01719473]
[192.06470038 187.55937082]
[199.6776441  182.36442429]
[203.0231679  171.33189308]
[206.42967017 162.92265503]
[205.73371373 160.04364153]
[204.70032805 159.35522314]
[204.72108491 154.15724771]
[204.057044   154.33109903]
[201.10265314 156.43576529]
[196.83877383 156.32540944]
[193.19235176 153.74645747]
[188.02569922 153.12898058]
[187.43318235 151.8049994 ]
[187.58477739 150.3546385 ]
[187.41590385 150.12094789]
[188.81685762 146.95880511]
[188.39825348 145.1265998 ]
[188.98965711 144.49807954]
[186.31124948 146.93299349]
[174.62210351 158.6830574 ]
[166.07451908 164.35072729]
[160.19170508 169.08247504]
[153.84789523 182.89193384]
[151.17499637 183.38126552]
[146.18260454 184.82980959]
[148.93150317 174.36568741]
[150.45341252 167.84572929]
[141.99865616 167.09327709]
[144.75435346 160.12737953]
[147.08450724 156.9164436 ]
[144.44084104 155.4105878 ]
[145.50586947 154.47639965]
[137.63110743 155.53830046]
[130.02866195 163.70761481]
[125.26269853 171.76105069]
[123.02527502 175.90382196]
[125.5022902  176.79045699]
[128.75360292 182.53443848]
[133.71500045 182.21610628]
[138.19738844 186.73233221]
[142.81045977 187.33532973]
[151.90308203 185.40019103]
[157.37651766 185.60858868]
[162.39539081 186.99054663]
[166.79760296 184.05135182]
[168.31224683 177.81836769]
[163.14517857 180.83898206]
[161.75738323 181.41275192]
[165.24339779 178.21157718]
[171.10337593 175.26058634]
[174.68599978 176.61382835]
[176.030077   178.29458784]
[173.0963914  181.50738788]
[164.37258303 182.41361345]
[155.83351284 172.69744883]
[157.4952342  163.81929464]
[154.87049136 155.92302273]
[155.85892683 148.66331638]
[158.01126861 145.25236011]
[159.17820185 139.99843655]
[159.6481567  137.75017964]
[165.76955452 134.05872175]
[168.6627053  132.32924315]
[167.62848968 135.86183537]
[166.84217782 132.10503756]
[161.93927922 130.8654464 ]
[154.19261019 134.7939307 ]
[148.95697125 131.45021938]
[145.0879144  125.36525974]
[139.04371319 132.46232306]
[134.31631252 133.52256508]
[134.9495499  138.42740448]
[133.24963273 136.85044886]
