[395.40188334 279.58213825]
[377.35786122 196.39547848]
[384.54455139 195.69190769]
[382.0116658  197.07005049]
[384.32477795 197.24553148]
[386.99454775 198.83108746]
[387.70873878 196.16461021]
[390.81715139 197.00967624]
[392.26994085 197.43509359]
[393.91244014 198.51705171]
[392.07843125 199.17030075]
[390.06323057 200.40086372]
[391.40341232 200.88375407]
[393.421223   198.17558997]
[399.60614073 189.06712113]
[403.49157487 183.63677606]
[407.60886097 179.81840542]
[410.2334071  181.55412083]
[414.23526483 179.06699156]
[420.62230727 179.48905092]
[423.15051191 182.98448961]
[427.65074154 185.56135606]
[431.13026687 190.68737348]
[436.90217396 190.1475711 ]
[441.95014899 191.32588491]
[445.14119289 191.389706  ]
[452.58155683 190.79110285]
[458.77227886 187.84220186]
[468.08307424 185.04796139]
[473.40746745 187.35589686]
[476.97168113 192.2131342 ]
[476.15423253 201.25894748]
[476.58980299 208.56419121]
[476.19772714 213.46648325]
[474.87200282 218.98928819]
[466.7497186  221.41641124]
[458.65092741 218.03305967]
[444.03802448 212.12784023]
[426.66495188 209.21775845]
[413.69478179 211.47469559]
[397.16216773 219.33663972]
[390.39020838 231.35317875]
[384.04157524 238.17529735]
[374.729793   252.79260333]
[369.05969467 262.84055288]
[369.58799735 269.97764981]
[369.06757997 272.64132328]
[372.76087807 267.98170175]
[372.05559284 262.4910905 ]
[374.84457956 252.20120582]
[378.01695826 244.89570973]
[381.76058821 234.87322436]
[381.11017385 233.16363989]
[379.81064377 236.44371409]
[378.1449615  241.79276019]
[373.42007432 243.42081292]
[372.68655537 242.21560564]
[373.75722018 233.62905207]
[373.77117154 221.83743379]
[374.9041131  209.95845236]
[372.54526682 194.79714091]
[371.96707827 184.29576498]
[369.80613585 179.36432947]
[370.15967748 177.28532653]
[372.5041775  175.43290736]
[371.60370468 173.22079925]
[368.86017776 172.22582603]
[366.09229928 169.78324498]
[365.82583752 168.92092411]
[366.33877862 165.68057931]
[362.9614084  164.00219897]
[362.36183951 163.49283394]
[365.6871757  161.83106827]
[366.00578267 160.63413291]
[366.55013509 161.94466806]
[368.29520324 165.06520707]
[374.66368674 170.27396619]
[385.91188924 164.21608676]
[403.83751903 157.92384712]
[408.31608506 151.44149009]
[414.72400141 138.99773069]
[415.76872032 127.72948921]
[414.77030771 125.68101426]
[412.96392309 120.41293491]
[410.64468473 119.52290711]
[411.55369846 114.23004233]
[408.9887707  118.11096738]
[403.81966423 115.98451281]
[400.96131221 112.18618201]
[392.24693275 111.74424227]
[392.15609415 109.98993038]
[391.48083439 106.96583901]
[390.55490447 106.59630307]
[391.90120316 102.8894019 ]
[392.5210052  100.01120143]
[391.65891017  98.08277403]
[387.75812352 101.13231981]
[373.91329081 110.22458391]
[365.57156708 118.21312989]
[361.23036252 122.63647156]
[354.10440976 138.52133488]
[350.20084153 140.27897509]
[346.75499313 143.29200901]
[345.73442756 136.58123417]
[348.66244867 131.65295968]
[339.23881523 131.78604627]
[341.90285889 126.80310348]
[343.68259451 122.99748776]
[340.34984675 122.94655964]
[341.159005   124.85015313]
[333.02206117 125.14680716]
[327.64786174 138.03956697]
[320.36392312 145.52990728]
[318.07434344 151.86355072]
[321.0457994  155.31632275]
[322.42223364 160.49747129]
[327.52183903 160.2804261 ]
[332.31261323 167.95315172]
[335.37489773 168.38044123]
[343.45361857 165.72800887]
[351.83547962 168.47160246]
[355.72428944 171.10667997]
[358.08334734 167.74528714]
[359.28032972 162.13162144]
[355.22292792 167.40153261]
[353.87027583 166.42915467]
[357.4447231  165.38650449]
[363.24642303 162.14997909]
[365.45270698 165.81716547]
[367.32794204 167.02437758]
[363.64555254 172.23143343]
[352.61132688 172.24838766]
[344.84324322 162.17951733]
[345.26749283 155.34641422]
[342.10607343 150.3399761 ]
[341.92957256 141.02375423]
[343.36726168 139.78960177]
[344.87472457 134.66216206]
[343.27143731 133.54895924]
[348.03670927 132.99185525]
[351.45961851 130.57945158]
[350.06213558 135.84853292]
[347.87344014 133.81411737]
[342.31413675 132.33530278]
[335.14191974 136.69394585]
[329.18307508 132.72562228]
[322.23179566 126.553021  ]
[318.76219109 136.5154795 ]
[311.98758042 138.37774086]
[311.69500616 141.08262323]
[309.23942964 140.2691714 ]
