[204.80435557 402.96832953]
[199.77713016 401.31968083]
[202.03379789 400.79835208]
[201.25395304 402.32224116]
[203.8194523 401.3611837]
[204.72371943 399.42401386]
[207.84974216 400.05637756]
[208.50879246 399.86942751]
[209.84236112 401.36575452]
[211.37245333 399.8156461 ]
[210.08729663 402.95502003]
[208.44044485 403.31052118]
[211.6983572 402.7521668]
[213.47508046 397.3227723 ]
[219.88598658 390.49044718]
[222.9953358  385.37725994]
[226.80251038 382.78960687]
[227.01290465 384.0792566 ]
[232.35038195 381.65147057]
[235.48346729 384.44078449]
[238.93713526 388.24281975]
[241.61291898 389.91409149]
[243.07063633 393.65075226]
[249.80716198 394.49475388]
[253.93322431 395.98394859]
[256.43903019 395.75518575]
[262.89979464 396.24526148]
[270.13399362 392.46043803]
[278.48126748 392.49494887]
[281.99337262 396.01607456]
[280.45557262 404.35418825]
[279.04002586 412.29331263]
[279.15470101 419.25395041]
[278.70702799 424.55556015]
[274.78933692 430.22633723]
[264.31060784 434.04274031]
[255.00679572 428.8580669 ]
[240.56960469 425.1863412 ]
[228.91619315 424.56848496]
[209.97130586 429.74499095]
[197.25766143 443.46432351]
[183.37298967 450.22770745]
[177.92455449 458.51978552]
[293.48931542 470.92428356]
[295.27862685 480.12840541]
[292.31195477 487.03849763]
[296.03171529 485.7419433 ]
[169.45511932 483.449733  ]
[172.45823989 481.39934862]
[172.47934848 476.24222702]
[175.83366708 467.28115547]
[179.75359046 454.57742236]
[180.06861947 461.05183236]
[178.38833817 462.62286999]
[179.9953963  467.91052686]
[175.77897019 470.98727235]
[172.2487261  464.19080755]
[174.88732841 455.41488543]
[173.08945606 445.14156099]
[175.30684632 430.56714465]
[174.35333548 419.30132588]
[174.36795818 413.63982605]
[172.91056365 409.15208475]
[171.27647443 408.46473333]
[173.14285747 406.30055311]
[172.78643117 404.59712791]
[169.19110185 404.24236049]
[169.17445057 403.08228354]
[169.09997368 401.06397402]
[169.47363176 398.49719007]
[168.24270818 395.67975698]
[168.47812772 395.00085128]
[170.68736314 392.89537641]
[170.70936764 392.56174856]
[174.67338663 395.3878789 ]
[176.79667635 399.79136528]
[186.79816732 402.08719015]
[205.57584028 393.61115576]
[215.78823571 386.7242645 ]
[218.73528633 380.23877059]
[223.05134061 367.76521599]
[225.21739605 361.57988661]
[224.60238523 359.52723944]
[224.51364554 357.10494868]
[224.07952975 353.75481202]
[224.99114195 353.14134038]
[220.13440812 354.08906438]
[217.64412743 351.00148915]
[212.58141306 347.65882447]
[209.1437334  346.51166683]
[208.89759485 342.5603609 ]
[209.64116977 343.06179277]
[209.93986395 339.88664035]
[211.6521738  336.44836189]
[211.85406588 333.52093386]
[212.97644227 332.39907387]
[207.90618421 337.80884345]
[195.57505116 347.44988443]
[189.48275534 348.09031205]
[182.71452    357.18202928]
[176.59039376 364.58230352]
[174.76462838 363.95795211]
[169.67717914 361.10243449]
[172.0837754  351.13451165]
[172.25468095 346.86101977]
[164.54389237 341.50711859]
[168.63969449 337.38896   ]
[169.31378184 331.96926811]
[167.53247972 331.14670553]
[166.35906944 331.34123413]
[157.83664969 334.40884328]
[151.90330355 344.17046634]
[146.53746486 351.21842038]
[143.07074372 350.73775716]
[148.58770202 355.4260657 ]
[150.49333585 359.20367027]
[158.43840324 359.57411788]
[161.3626366  365.35093925]
[168.87216128 362.73049699]
[176.47634907 362.14258213]
[182.32597444 365.23234176]
[186.47621311 362.64782662]
[190.20392417 358.70774848]
[191.20460746 356.38203918]
[186.70928238 360.23169271]
[187.52153907 358.90995203]
[194.57420884 355.34860155]
[199.63201947 353.1493012 ]
[203.28896498 356.47691614]
[204.39929489 355.75549512]
[199.554919  360.8860248]
[189.00499125 357.1761635 ]
[185.88083365 345.32085683]
[187.96084225 337.72240488]
[184.44674128 331.28546726]
[188.62538917 326.26295692]
[190.99787662 320.17368586]
[191.55611627 314.50807656]
[193.1020957  313.50094861]
[198.71564128 311.11261019]
[200.62693048 309.50306316]
[199.93301452 312.45812093]
[197.18338725 308.99957477]
[193.36045069 309.96162665]
[186.20579811 312.51406288]
[181.75083192 301.57437046]
[178.54404582 304.20322788]
[173.23094133 311.19570584]
[168.2571964  312.69549725]
[169.56183175 314.6631439 ]
[169.7163619  314.32560645]
