[414.97759219 382.7043181 ]
[412.43627678 372.61426573]
[415.20066601 380.7460122 ]
[413.47800298 380.75762089]
[416.41734432 381.62912756]
[415.22377405 382.17397621]
[419.52081286 380.74520526]
[421.74957369 382.46065757]
[422.71388882 382.38277747]
[422.74879425 382.7220035 ]
[423.59470039 383.13372739]
[420.82816307 385.09398731]
[422.04577871 382.98656092]
[424.76801915 378.21789426]
[430.15472989 370.61554147]
[435.67361226 366.6635341 ]
[439.93914896 365.34010462]
[440.91504698 366.68333421]
[447.00669847 365.05676951]
[450.87083403 368.47576681]
[452.83719308 371.54298339]
[456.9002703  375.31992795]
[460.07275694 379.78656941]
[466.22057151 381.22431932]
[471.11190115 381.21405694]
[474.97301032 382.53206163]
[480.70884403 381.66382162]
[486.60528202 379.76200277]
[496.51240338 379.3147048 ]
[500.85336888 382.55171103]
[500.96831764 390.92439538]
[501.33668304 398.69656569]
[502.01803535 406.54511606]
[499.82378013 412.97417728]
[495.45686401 419.09016172]
[486.59093557 420.0866774 ]
[476.68689594 415.8485706 ]
[460.25384503 411.88125897]
[446.19073319 410.00396956]
[429.4831266  416.58520788]
[414.85207425 426.22424943]
[411.4397843  435.08448263]
[402.86392486 446.29773583]
[393.4972448  459.68347231]
[392.76364971 471.0377367 ]
[393.24408119 476.83519203]
[394.01753066 476.03703563]
[397.26639806 469.94301958]
[398.48860444 463.68564238]
[399.66375353 454.07406287]
[403.6322269  444.99222996]
[406.69793889 437.89155225]
[405.54004057 439.51636758]
[405.27146342 442.93139386]
[403.06462566 447.81143345]
[399.84436715 449.16665702]
[399.95102362 445.36607309]
[401.31738162 432.99730126]
[400.73422358 422.92013551]
[402.09850837 405.74325958]
[402.44888411 395.12785705]
[401.81245666 388.41206254]
[400.56575501 383.72339858]
[398.69369713 382.17053976]
[400.62967078 380.47820385]
[400.13731141 377.57271296]
[398.44970006 376.69831145]
[397.41284049 373.91153317]
[396.82533437 372.93235118]
[397.06126089 368.95595204]
[396.49145195 367.34263002]
[396.21381998 365.49524157]
[397.05396007 362.1088589 ]
[397.83651809 362.84314298]
[399.83477018 363.95444453]
[402.82302234 367.66185796]
[409.78020276 369.61800561]
[425.17817735 361.37587484]
[438.07903416 351.57846688]
[443.88388968 343.68913597]
[450.18555413 329.52460702]
[450.29975218 325.90552833]
[451.29171938 320.20507944]
[450.8113921  317.75465294]
[451.15816453 313.78638552]
[451.15828506 310.64222094]
[445.68740665 310.88342655]
[443.16372456 307.45885311]
[438.27681502 303.69239319]
[434.19312688 302.45633751]
[432.93341354 298.43775469]
[433.44569566 296.10218424]
[432.81254848 293.17430728]
[435.34199421 287.71000089]
[434.80568994 285.43684542]
[435.29317738 283.42839731]
[429.35404011 286.85526907]
[416.14340292 295.64778451]
[410.15556064 297.35470102]
[401.70230302 304.72537797]
[396.24646616 315.76050306]
[393.25651415 317.2556343 ]
[387.85026782 317.28778295]
[390.01617652 306.80552832]
[388.62483639 302.83521207]
[380.61362516 299.68330069]
[386.07909097 296.4379312 ]
[387.10282891 292.37748959]
[382.94308554 293.33226575]
[381.67538343 294.01844506]
[370.96713419 298.07914957]
[365.645195   309.13807762]
[359.84596472 317.20444041]
[358.17949619 322.18186516]
[361.89331737 325.39024052]
[363.3584783  330.18040202]
[369.72124253 330.53088487]
[372.64118007 337.74286243]
[378.0225453  336.02628692]
[388.48798355 336.17066881]
[392.7041954  339.21589379]
[397.70732877 339.93008855]
[401.27823726 335.39973548]
[403.04823828 332.4038703 ]
[397.28250958 336.60097218]
[397.17803293 336.29503147]
[403.44617183 331.71458507]
[407.96681555 330.95060117]
[411.9393741  334.07723483]
[411.68414378 335.10253096]
[404.77708373 341.47103991]
[394.88943929 337.06081193]
[390.10358406 325.77902901]
[389.58649909 318.97142393]
[388.27758256 312.50067182]
[391.25123977 308.42577235]
[392.25728601 303.98985732]
[392.25523662 299.5138878 ]
[391.5257394  299.57913878]
[397.29003047 296.84044432]
[399.30647048 296.02839807]
[396.69875123 301.20591554]
[393.5598175  296.99640349]
[388.66668599 298.47543177]
[382.26366703 301.59014667]
[376.74559108 292.18173504]
[371.11789148 292.11529015]
[364.49659824 301.41297176]
[359.68688634 303.83214348]
[360.21370995 305.41509865]
[358.95782335 305.44247184]
