[193.44181866 207.22204555]
[183.34016698 207.80318771]
[187.71575653 209.25850453]
[188.44652906 211.02809152]
[189.145496   213.35240245]
[193.07211455 211.43015987]
[190.17287463 213.12702989]
[194.39725661 210.05911554]
[197.59240581 211.71397909]
[197.90433479 212.28944387]
[196.86441139 213.31634733]
[196.83994783 213.93385194]
[195.54897419 213.54921032]
[196.25707928 212.17136511]
[204.98176617 203.18186484]
[207.88320963 195.95582634]
[211.4037131  192.39017772]
[213.07948642 192.82433649]
[218.35205358 190.28485401]
[223.94211007 191.23272791]
[225.95639575 192.58611237]
[228.97333921 195.05178939]
[231.96591938 199.40555393]
[236.56479781 200.33488018]
[242.00555995 198.68139463]
[245.11510111 200.0275574 ]
[250.64823692 197.95802531]
[258.472432   196.00880647]
[266.53645575 192.79059809]
[272.76350347 194.67955727]
[272.54729062 199.85901275]
[271.32507714 208.96220549]
[271.94493034 214.96694048]
[271.53237336 221.23515989]
[269.40028728 223.67231402]
[260.2948256  227.57586414]
[252.87112172 226.18042709]
[239.79146843 219.27330311]
[224.10542841 218.47508165]
[207.75272367 221.38547973]
[189.7676842  230.63292153]
[181.02226266 239.017415  ]
[177.85626089 242.00635766]
[164.98092649 257.86786135]
[156.65799067 270.00161101]
[161.22644263 276.06908418]
[159.23632509 279.18509764]
[160.18357224 278.6864286 ]
[162.42374995 273.51629948]
[165.34303592 266.47926701]
[166.5860599  259.49763657]
[170.96866841 247.9991803 ]
[170.06289456 247.08867508]
[168.84986071 252.32038566]
[167.78408668 257.22302884]
[165.15454185 260.92096519]
[162.06661776 259.70344735]
[163.37686664 250.91193436]
[161.15605916 241.32093623]
[161.46418025 230.15692542]
[160.71125326 215.85506831]
[159.46347953 203.8781926 ]
[162.08708347 199.10906593]
[158.80838292 199.80106182]
[158.42249454 196.70546876]
[158.27331966 196.86377577]
[156.87999936 195.98049902]
[155.71559484 194.1981261 ]
[153.87853015 194.13018032]
[154.09108972 190.78103762]
[153.40558873 191.22156659]
[153.3784279 190.0115093]
[153.93395436 188.0206432 ]
[156.20883383 185.5691132 ]
[157.25896493 190.1260072 ]
[159.62400699 195.18485551]
[165.75094315 198.86610746]
[181.84380905 194.34235137]
[194.56097947 186.96489444]
[200.07815719 180.59993681]
[204.16785345 170.49434561]
[206.04881235 164.46467003]
[205.30363204 161.35587339]
[205.8037893  156.66522023]
[204.40427634 155.14470927]
[204.87302255 155.35833587]
[201.77587196 155.61676473]
[197.00572831 155.73761024]
[193.8833155  153.01235279]
[189.82487509 152.88699356]
[187.99283665 152.24799601]
[187.54161621 149.52647129]
[187.89243085 149.71843726]
[188.34117734 146.69609083]
[188.09236076 146.18185759]
[189.95951366 144.1728303 ]
[186.62101852 148.45300957]
[173.5459207  158.90531877]
[166.47870222 162.59925275]
[160.87297491 169.16991673]
[155.50164912 181.46510066]
[153.13646069 180.50178364]
[147.57230284 184.27814766]
[147.87296901 174.79434488]
[150.94204377 168.45060533]
[141.87729924 166.89637651]
[145.92916216 159.64629125]
[147.97831965 158.36991134]
[145.74496057 154.54634428]
[144.21096756 154.49953849]
[138.02605924 154.81884353]
[132.68262306 165.45078644]
[125.26965938 173.42891524]
[122.65922197 176.1609536 ]
[126.22429514 177.15366233]
[128.65580414 181.73129314]
[133.88432536 182.03027838]
[138.94284887 187.20929879]
[143.48217279 186.63220131]
[152.2532447  184.69851216]
[158.70447146 186.60033424]
[163.63091684 187.35527731]
[166.82139747 184.36891994]
[168.13952781 179.49490515]
[164.74083069 180.95338941]
[161.83515953 180.89021752]
[166.68892858 177.79571743]
[171.90217418 175.28588391]
[175.93969212 176.56500943]
[177.5396675  178.24385797]
[174.04946608 182.74598831]
[164.74555517 181.98575897]
[156.58749173 172.56759201]
[158.10429755 163.01432231]
[154.27433271 156.73121198]
[155.76090204 149.44165906]
[159.90422323 145.32221726]
[160.87423154 137.96767745]
[159.88424259 136.63997399]
[165.59411272 134.52881464]
[169.99138994 131.94420717]
[168.95389381 135.36853424]
[165.84875939 133.49490228]
[161.42608699 130.62946233]
[155.13340912 133.63949801]
[149.16767122 132.5994641 ]
[145.13278162 125.99075199]
[140.05442674 131.64879016]
[134.90287059 135.02559701]
[135.95135214 137.85482401]
[133.7398437  136.55281481]
