[377.13666812 196.58193522]
[377.38015148 195.39044104]
[379.52364543 196.92464124]
[383.49360568 198.62765131]
[385.64053548 198.5400131 ]
[384.98736085 198.83000295]
[387.95998889 196.97670764]
[389.44476035 196.70780082]
[391.2576554 199.5266302]
[392.12547639 199.03646732]
[392.15271488 199.94069292]
[391.26675881 201.45950306]
[391.44592966 201.42869629]
[392.54038375 198.16061372]
[398.88683303 190.11024332]
[403.5782899  185.08455713]
[408.36772672 179.24705304]
[410.77396903 182.6228394 ]
[414.4222433  180.56929645]
[420.08629422 180.3037572 ]
[423.69770826 183.97262883]
[427.94380903 185.64493405]
[431.69540962 190.6794963 ]
[436.70499617 191.54383367]
[441.44774206 192.29109453]
[445.71128551 191.60744241]
[451.75375336 191.26940132]
[458.74416274 189.26806222]
[468.54371629 186.75757787]
[473.50639927 187.61238614]
[476.196794  192.3658664]
[475.60339926 200.0886631 ]
[475.17643435 208.42027611]
[476.21325457 214.52987497]
[474.94948636 218.26576102]
[465.24355067 221.91175477]
[457.92393045 218.02491722]
[443.83479257 213.60612116]
[425.82923985 209.36426383]
[410.20466742 211.16116544]
[397.52210526 220.73729923]
[389.56961998 231.65797646]
[385.65917298 238.94345739]
[375.03337654 253.07828907]
[369.36682335 262.93798589]
[368.00974099 269.38027878]
[369.23830036 272.86470255]
[372.37112813 267.63448996]
[372.36907436 262.56642672]
[374.98656971 252.36596705]
[376.4048412  244.63436838]
[381.19000037 234.0110675 ]
[381.50462412 233.37857144]
[379.41936711 236.22292381]
[378.65498575 241.84307016]
[374.45376856 243.56531862]
[372.09242326 242.19191476]
[372.770337   233.21453182]
[373.86487788 222.39745788]
[372.10479405 209.86762286]
[374.39867886 195.39166753]
[371.86638609 187.63220148]
[372.04167297 179.66701833]
[367.13799292 178.47093233]
[367.34302979 175.00432376]
[371.10924735 173.74787016]
[369.78271784 173.69929461]
[366.81399279 171.83841686]
[365.24340722 168.98040444]
[365.87582364 165.47579563]
[364.58061382 164.18258499]
[362.12999018 163.27437471]
[363.86812682 161.22750728]
[364.39044702 159.99213357]
[367.4842569  163.58921251]
[368.57034448 165.30115838]
[373.84231525 170.6799963 ]
[385.0569044  166.66181642]
[400.79595548 157.82758058]
[406.77765912 149.96964964]
[410.51893515 138.66230286]
[415.70512662 130.37500457]
[413.36105297 125.95586446]
[413.26190236 121.30784444]
[412.93139908 117.79793087]
[410.17393014 114.01056991]
[407.21704049 117.37584516]
[404.33192105 116.83893044]
[399.67206713 111.34778747]
[393.55650316 111.78372022]
[391.57168217 109.56626926]
[391.6435855  107.19490638]
[391.4677376  106.64433028]
[391.46487008 102.37886363]
[391.46497939 101.02114109]
[390.35558107  98.53707737]
[387.99315829 100.51201686]
[374.30144445 111.62251802]
[366.238036   117.95846504]
[360.8511885  122.75461695]
[354.57850498 138.11832228]
[349.22443269 139.68714597]
[346.19757155 143.34507667]
[344.49967269 135.60653897]
[347.53362473 130.00724151]
[338.94058934 131.95649541]
[340.08784804 125.82672803]
[343.85800681 123.76036508]
[341.1390617  122.67965698]
[340.61917341 123.17914604]
[332.41512366 126.03484079]
[326.86267092 136.50777729]
[320.29703088 145.94870958]
[316.58938881 151.38273618]
[319.29496317 154.57714422]
[322.77229367 161.21725808]
[326.11905539 161.7560651 ]
[331.28649767 167.42646164]
[335.63005481 168.19241331]
[344.89413452 166.07178436]
[351.69920122 169.15866923]
[355.29700418 171.19328511]
[357.24786905 168.58166923]
[360.0667866  163.37905329]
[355.74103335 167.40611286]
[352.97582369 167.90853019]
[357.27141943 165.36703724]
[362.78637895 162.71520675]
[364.67637011 165.32814784]
[367.83560032 167.71539166]
[363.72771396 172.950287  ]
[351.28434872 172.22926498]
[344.51496297 164.29883311]
[344.36985712 154.89037998]
[341.2651015 150.6379842]
[341.79577718 142.40529741]
[343.16160802 140.71277268]
[345.2462292  135.22265994]
[342.68558942 134.84769401]
[348.12302201 133.38454561]
[351.27228211 131.78392334]
[349.5540326  134.32854438]
[347.29791449 133.2617016 ]
[342.75590598 131.06155068]
[334.59459629 135.51680737]
[329.40749395 133.45144567]
[323.50778004 126.57143888]
[316.20686953 135.73318823]
[311.9870474  139.88300498]
[311.33887003 142.7906635 ]
[309.58357536 140.16473405]
